,Title,State,District,Date.of.Challenge.Removal,Month,Year,school_district,County_Merge,County.FIPS,county_state,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,code,Trends_DMA
127,Me and Earl and the Dying Girl,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
128,Me and Earl and the Dying Girl,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
192,Thirteen Reasons Why,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
193,Thirteen Reasons Why,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
209,The Handmaid's Tale,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
210,The Handmaid's Tale,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
216,The Handmaid's Tale: The Graphic Novel,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,travis county,453,"travis, TX",TX ,Travis                      ,48,453,335570,54,AUSTIN (TX)                                                          ,635,US-TX-635
217,The Handmaid's Tale: The Graphic Novel,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,williamson county,491,"williamson, TX",TX ,Williamson                  ,48,491,96980,54,AUSTIN (TX)                                                          ,635,US-TX-635
220,The Testaments,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
221,The Testaments,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
362,"Then Again, Maybe I Won't",Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
363,"Then Again, Maybe I Won't",Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
470,Love & Sex: Ten Stories of Truth,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
471,Love & Sex: Ten Stories of Truth,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
