"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"128","US-PA-516","6","2022","ERIE (PA)                                                            ","PA ",1,58.4,56.8
"129","US-PA-566","1","2023","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",2,73,94.25
"130","US-PA-566","4","2022","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",1,75.5,75.4
"131","US-PA-577","2","2023","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",1,85,86
"132","US-PA-577","7","2022","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",27,77.75,90.25
"133","US-SC-507","10","2022","SAVANNAH (GA)                                                        ","SC ",99,81.75,79.25
"134","US-SC-567","11","2022","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",1,91.8,74.25
"135","US-SC-567","9","2022","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",2,90,91.8
"136","US-TN-575","5","2023","CHATTANOOGA (TN)                                                     ","TN ",2,77.6,77.25
"137","US-TN-640","2","2022","MEMPHIS (TN)                                                         ","TN ",327,52.6,55
"138","US-TN-659","1","2023","NASHVILLE (TN)                                                       ","TN ",1,71,92.25
"139","US-TN-659","12","2022","NASHVILLE (TN)                                                       ","TN ",2,81.5,87.2
"140","US-TN-659","2","2023","NASHVILLE (TN)                                                       ","TN ",6,87.2,86.75
"141","US-TN-659","3","2022","NASHVILLE (TN)                                                       ","TN ",2,85.5,84
"142","US-TN-659","5","2022","NASHVILLE (TN)                                                       ","TN ",4,84,86.5
"143","US-TN-659","5","2023","NASHVILLE (TN)                                                       ","TN ",2,86.2,87.75
"144","US-TX-612","10","2022","SHREVEPORT (LA)                                                      ","TX ",58,82.5,70.25
"145","US-TX-618","1","2022","HOUSTON (TX)                                                         ","TX ",71,50.25,79
"146","US-TX-618","1","2023","HOUSTON (TX)                                                         ","TX ",73,63.5,85.75
"147","US-TX-618","10","2022","HOUSTON (TX)                                                         ","TX ",2,86.5,70.25
"148","US-TX-618","11","2022","HOUSTON (TX)                                                         ","TX ",3,81.6,63.5
"149","US-TX-618","12","2021","HOUSTON (TX)                                                         ","TX ",34,61,74
"150","US-TX-618","12","2022","HOUSTON (TX)                                                         ","TX ",2,70.25,82
"151","US-TX-618","2","2022","HOUSTON (TX)                                                         ","TX ",17,74,76.75
"152","US-TX-618","4","2022","HOUSTON (TX)                                                         ","TX ",19,76.75,78.8
"153","US-TX-618","5","2022","HOUSTON (TX)                                                         ","TX ",3,80.5,92
"154","US-TX-618","7","2022","HOUSTON (TX)                                                         ","TX ",2,92,88.25
"155","US-TX-618","8","2022","HOUSTON (TX)                                                         ","TX ",3,84,86.5
"156","US-TX-618","9","2022","HOUSTON (TX)                                                         ","TX ",10,88.25,81.6
"157","US-TX-623","1","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536,54,80
"158","US-TX-623","1","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",26,64.75,88.25
"159","US-TX-623","10","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",510,84,71.5
"160","US-TX-623","11","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54,82,64.75
"161","US-TX-623","12","2021","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2,57,69.4
"162","US-TX-623","12","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",8,71.5,78.2
"163","US-TX-623","2","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2,69.4,77.5
"164","US-TX-623","2","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",22,78.2,88.5
"165","US-TX-623","3","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42,80,77.5
"166","US-TX-623","3","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90,88.25,84
"167","US-TX-623","4","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",8,77.5,74.8
"168","US-TX-623","4","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5,88.5,79.75
"169","US-TX-623","5","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",4,77.5,82.5
"170","US-TX-623","5","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5,84,92.25
"171","US-TX-623","6","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5,79.75,86
"172","US-TX-623","7","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2,82.5,84
"173","US-TX-623","8","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",10,85,84
"174","US-TX-623","9","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87,84,82
"175","US-TX-635","1","2023","AUSTIN (TX)                                                          ","TX ",3,65.5,90.75
"176","US-TX-635","11","2022","AUSTIN (TX)                                                          ","TX ",1,84.2,65.5
"177","US-TX-635","3","2022","AUSTIN (TX)                                                          ","TX ",84,78,82.25
"178","US-TX-635","3","2023","AUSTIN (TX)                                                          ","TX ",10,90.75,87.8
"179","US-TX-641","12","2021","SAN ANTONIO (TX)                                                     ","TX ",435,61,67.4
"180","US-TX-641","3","2022","SAN ANTONIO (TX)                                                     ","TX ",42,75.5,71.25
"181","US-UT-770","1","2023","SALT LAKE CITY (UT)                                                  ","UT ",9,70.75,94
"182","US-UT-770","10","2022","SALT LAKE CITY (UT)                                                  ","UT ",40,90,82.25
"183","US-UT-770","11","2022","SALT LAKE CITY (UT)                                                  ","UT ",152,87.4,70.75
"184","US-UT-770","12","2022","SALT LAKE CITY (UT)                                                  ","UT ",23,82.25,90
"185","US-UT-770","2","2023","SALT LAKE CITY (UT)                                                  ","UT ",58,90,87
"186","US-UT-770","3","2023","SALT LAKE CITY (UT)                                                  ","UT ",30,94,84.6
"187","US-UT-770","5","2023","SALT LAKE CITY (UT)                                                  ","UT ",1,84.6,85.25
"188","US-UT-770","6","2023","SALT LAKE CITY (UT)                                                  ","UT ",25,78.5,81.8
"189","US-UT-770","7","2022","SALT LAKE CITY (UT)                                                  ","UT ",130,83.5,84.5
"190","US-UT-770","8","2022","SALT LAKE CITY (UT)                                                  ","UT ",59,81.2,90
"191","US-UT-770","9","2022","SALT LAKE CITY (UT)                                                  ","UT ",10,84.5,87.4
"192","US-VA-511","10","2022","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",5,77.75,68
"193","US-VA-511","11","2022","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",2,72.6,66.75
"194","US-VA-511","2","2023","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",13,74.2,73.5
"195","US-VA-511","3","2023","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",14,83,75.2
"196","US-VA-511","4","2023","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",1,73.5,65.75
"197","US-VA-517","1","2023","CHARLOTTESVILLE (VA)                                                 ","VA ",17,78.25,94
"198","US-VA-517","10","2022","CHARLOTTESVILLE (VA)                                                 ","VA ",3,92.75,85
"199","US-VA-544","5","2022","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","VA ",2,81,83.75
"200","US-VA-556","1","2022","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",1,67.75,78
"201","US-VA-556","6","2023","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",18,81.5,87.4
"202","US-VA-573","1","2022","ROANOKE (VA) - LYNCHBURG (VA)                                        ","VA ",1,49.25,77.5
"203","US-VA-584","1","2023","CHARLOTTESVILLE (VA)                                                 ","VA ",17,62.25,88.25
"204","US-VA-584","10","2022","CHARLOTTESVILLE (VA)                                                 ","VA ",3,91.5,80
"205","US-WA-810","2","2022","YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ","WA ",1,70.8,68.25
"206","US-WA-819","1","2022","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",3,58.75,80.5
"207","US-WI-617","1","2023","MILWAUKEE (WI)                                                       ","WI ",3,75.5,93
"208","US-WI-617","5","2022","MILWAUKEE (WI)                                                       ","WI ",3,82.5,91
"209","US-WI-658","1","2023","GREEN BAY (WI) - APPLETON (WI)                                       ","WI ",3,76.5,89
"210","US-WY-756","2","2023","BILLINGS (MT)                                                        ","WY ",10,64.2,68
"211","US-WY-767","10","2022","CASPER (WY) - RIVERTON (WY)                                          ","WY ",2,61,55.75
"212","US-WY-767","3","2023","CASPER (WY) - RIVERTON (WY)                                          ","WY ",2,67.25,72
"213","US-WY-767","5","2023","CASPER (WY) - RIVERTON (WY)                                          ","WY ",1,72,71.75
"214","US-AK-743","10","2021","ANCHORAGE (AK)                                                       ","AK ",1,NA,77
"215","US-FL-534","10","2021","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,NA,67
"216","US-FL-534","11","2021","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",7,NA,58.25
"217","US-FL-548","11","2021","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",161,NA,64.5
