Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
All American Boys,Banned in Libraries,,,Indiana,Middlebury Community Schools,Dec-21,Administrator
All American Boys,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
All American Boys,Banned in Classrooms,,,North Carolina,Pitt County Schools,Nov-21,Formal Challenge
All American Boys,Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
All American Boys,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
All American Boys,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
All American Boys,Banned in Libraries,,,Texas,Katy Independent School District,Oct-21,Administrator
All American Boys,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
As Brave As You,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Ghost (Track Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Look Both Ways: A Tale Told in Ten Blocks,Banned in Classrooms,"Nabaum, Alexander",,Pennsylvania,Central York School District,Aug-21,Administrator
Patina (Track Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Stamped: Racism, Antiracism, and You",Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
"Stamped: Racism, Antiracism, and You",Banned Pending Investigation,,,Florida,Lee County Schools,Mar-22,Administrator
"Stamped: Racism, Antiracism, and You",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Stamped: Racism, Antiracism, and You",Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Stamped: Racism, Antiracism, and You",Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
Beyond Dreams (Hamilton High Series),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Detour for Emmy,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Say Something,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Three Little Words: A Memoir,Banned in Libraries,,,Indiana,Middlebury Community Schools,Dec-21,Administrator
Ghost Boys,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Bayou Magic (The Louisiana Girls Trilogy Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Ghost Boys,Banned in Classrooms,,,New Jersey,Sparta Township Public Schools,Sep-21,Administrator
Ghost Boys,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Ghost Boys,Banned Pending Investigation,,,Tennessee,Hamilton County Schools,Oct-21,Administrator
Ninth Ward (The Louisiana Girls Trilogy Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
And Tango Makes Three,Banned in Libraries and Classrooms,"Cole, Henry",,Florida,Broward County Public Schools,Jun-22,Administrator
And Tango Makes Three,Banned Pending Investigation,"Cole, Henry",,Florida,Lee County Schools,Feb-22,Administrator
And Tango Makes Three,Banned Pending Investigation,"Cole, Henry",,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
And Tango Makes Three,Banned Pending Investigation,"Cole, Henry",,Florida,Walton County School District,Apr-22,Administrator
And Tango Makes Three,Banned Pending Investigation,"Cole, Henry",,Texas,North East Independent School District,Dec-21,Administrator
Pink!,Banned Pending Investigation,"Chamberlain, Margaret",,Florida,Duval County Public Schools,Jan-22,Administrator
The Burning Maze (The Trials of Apollo Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Dark Prophecy (The Trials of Apollo Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Hammer of Thor (Magnus Chase and the Gods of Asgard Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Hidden Oracle (The Trials of Apollo Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Tyrant’s Tomb (The Trials of Apollo Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Juliet Takes a Breath,Banned in Libraries and Classrooms,,,Georgia,Forsyth County Schools,Jan-22,Administrator
Juliet Takes a Breath,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Juliet Takes a Breath,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Two Dads: A Book About Adopton,Banned Pending Investigation,"Humphreys, Sophie",,Florida,Walton County School District,Apr-22,Administrator
The Barren Grounds (The Misewa Saga Series),Banned in Libraries,,,Texas,Katy Independent School District,Dec-21,Administrator
Hiawatha and the Peacemaker,Banned Pending Investigation,"Shannon, David",,Florida,Duval County Public Schools,Jan-22,Administrator
Another,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
You Matter,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Were I Not a Girl: The Inspiring and True Story of Dr. James Barry,Banned Pending Investigation,"Berke, Lauren Simkin",,Florida,Duval County Public Schools,Jan-22,Administrator
The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Girls at the Edge of the World,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Where We Go From Here,Banned Pending Investigation,,"Helena, Larissa",Tennessee,Collierville Schools,Feb-22,Administrator
Chik Chak Shabbat,Banned Pending Investigation,"Brooker, Kyrsten",,Florida,Duval County Public Schools,Jan-22,Administrator
"Hey, Charleston!: The True Story of the Jenkins Orphanage Band",Banned in Classrooms,"Bootman, Colin",,Pennsylvania,Central York School District,Aug-21,Administrator
Finding Community,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Living Proud! Coming Out and Seeking Support (Living Proud! Growing Up Lgbtq),Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Living Proud! Coming Out and Seeking Support (Living Proud! Growing Up Lgbtq),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Living with Religion and Faith,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Lucy Peale,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Death Prefers Blondes,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Fell of Dark,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
White Rabbit,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
White Rabbit,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Satanism (At Issue),Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Normal People,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
Normal People,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Abortion: A Documentary and Reference Guide,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Jack of Hearts (and other parts),Banned Pending Investigation,,,New York,Yorktown Central School District,Jan-22,Formal Challenge
Jack of Hearts (and other parts),Banned Pending Investigation,,,Texas,Birdville Independent School District,Oct-21,Formal Challenge
Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,Texas,Clear Creek Independent School District,Jan-22,Administrator
Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,Texas,Cypress-Fairbanks Independent School District,Dec-21,Administrator
Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,Texas,Frisco Independent School District,Apr-22,Administrator
Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Nov-21,Administrator
Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,Texas,Keller Independent School District,Nov-21,Formal Challenge
Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,Texas,Killeen Independent School District,Apr-22,Administrator
Jack of Hearts (and other parts),Banned Pending Investigation,,,Texas,Lamar Consolidated Independent School District,Dec-21,Administrator
Jack of Hearts (and other parts),Banned Pending Investigation,,,Washington,Kent School District,Jan-22,Administrator
Girls vs. Guys: Surprising Differences Between the Sexes,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Lost Boys,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Cherry,Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Shades of People,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
House of Furies (House of Furies Series),Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Any Way the Wind Blows (Simon Snow Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Carry On (Simon Snow Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Eleanor & Park,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Eleanor & Park,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Eleanor & Park,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Eleanor & Park,Banned in Libraries,,,Tennessee,Wilson County School District,Mar-22,Other
Eleanor & Park,Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Wayward Son (Simon Snow Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The God of Small Things,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
My Awesome/Awful Popularity Plan (Justin Goldblatt Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Little Melba and Her Big Trombone,Banned in Classrooms,"Morrison, Frank",,Pennsylvania,Central York School District,Aug-21,Administrator
Birthday,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Birthday,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
If I Was Your Girl,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
If I Was Your Girl,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
If I Was Your Girl,Banned Pending Investigation,,,Washington,Kent School District,Jan-22,Administrator
The Midnight Lie (Forgotten Gods Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Midnight Lie (Forgotten Gods Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Miles Away from You,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Miles Away from You,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Saints of Augustine,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Esperanza Rising,Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
Empress of the World (Battle Hall Davies Series),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
I Hope You're Listening,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
I Hope You're Listening,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
When You Get the Chance,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"She/He/They/Me: For the Sisters, Misters, and Binary Resisters",Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Elizabeth Blackwell, the First Woman Doctor",Banned in Classrooms,"Early Macken, JoAnn",,Pennsylvania,Central York School District,Aug-21,Administrator
Amal Unbound,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Bilal Cooks Daal,Banned in Classrooms,"Syed, Anoosha",,Pennsylvania,Central York School District,Aug-21,Administrator
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Inexplicable Logic of My Life,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Story of Rap,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Moon Within,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
The Moon Within,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Moon Within,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Hold Back the Tide,Banned in Libraries,,,Texas,Katy Independent School District,Jan-22,Administrator
Can't Take That Away,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
642 Things to Write About,Banned in Classrooms,,,Ohio,Hudson City Schools,Sep-21,Administrator
Bait,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Getting It,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Rainbow Boys (Rainbow Trilogy Series),Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Rainbow Boys (Rainbow Trilogy Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Rainbow High (Rainbow Trilogy Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Rainbow Road (Rainbow Trilogy Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
So Hard to Say,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
You Brought Me the Ocean,Banned Pending Investigation,"Maroh, Julie",,Tennessee,Collierville Schools,Feb-22,Administrator
I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
I Am Not Your Perfect Mexican Daughter,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
The (Un)Popular Vote,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Peaceful Fights for Equal Rights,Banned in Classrooms,"Schorr, Jared Andrew",,Pennsylvania,Central York School District,Aug-21,Administrator
Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,"Salerno, Steven",,Florida,Duval County Public Schools,Jan-22,Administrator
Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,Idaho,Bonneville Joint School District No 93,Apr-22,Formal Challenge
Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Classrooms,"Salerno, Steven",,Pennsylvania,Central York School District,Aug-21,Administrator
Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,"Salerno, Steven",,Texas,North East Independent School District,Dec-21,Administrator
Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,Wisconsin,School District of Cadott Community,Mar-22,Formal Challenge
Stonewall: A Building. An Uprising. A Revolution.,Banned Pending Investigation,"Christoph, Jamey",,Florida,Duval County Public Schools,Jan-22,Administrator
Something Must Be Wrong with Me: A Boy's Book about Sexual Abuse,Banned Pending Investigation,"Evans, Graci",,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Gay Believers: Homosexuality and Religion,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Just Ash,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
I'm A Gay Wizard,Banned Pending Investigation,,,Virginia,Henrico County Public Schools,Nov-21,Administrator
Push,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Ana on the Edge,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Persepolis: The Story of a Childhood,Banned Pending Investigation,,,Pennsylvania,Franklin Regional School District,Mar-22,Administrator
Persepolis: The Story of a Childhood,Banned in Libraries,,,Texas,Katy Independent School District,Jan-22,Administrator
"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
All the World,Banned in Classrooms,"Frazee, Marla",,Pennsylvania,Central York School District,Aug-21,Administrator
Fans of the Impossible Life,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Questions Within (Cutting Edge Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Jesus Land: A Memoir,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
Jesus Land: A Memoir,Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Stella Brings the Family,Banned in Libraries and Classrooms,"Clifton-Brown, Holly",,Florida,Broward County Public Schools,Jun-22,Administrator
Stella Brings the Family,Banned Pending Investigation,"Clifton-Brown, Holly",,Florida,Duval County Public Schools,Jan-22,Administrator
Black Frontiers: A History of African American Heroes in the Old West,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Lizard Radio,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Get a Clue (Bookish Boyfriends Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Last Time I Wore a Dress,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Darkness Outside Us,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Spotlight on Coding Club! (Girls Who Code Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Invisible Life of Addie LaRue,Banned in Libraries,,,Georgia,Cherokee County School District,Jan-22,Formal Challenge
The Hope Chest,Banned Pending Investigation,,,Tennessee,Hamilton County Schools,Oct-21,Administrator
Scary Stories to Tell in the Dark,Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Locked Up for Freedom: Civil Rights Protesters at the Leesburg Stockade,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
SELF-ish: A Transgender Awakening,Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
On Mother's Lap,Banned Pending Investigation,"Coalson, Glo",,Florida,Duval County Public Schools,Jan-22,Administrator
Living Dead Girl,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
Living Dead Girl,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Living Dead Girl,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Living Dead Girl,Banned Pending Investigation,,,Missouri,Rockwood School District,Mar-22,Formal Challenge
Lucky,Banned in Libraries and Classrooms,,,Virginia,Virginia Beach City Public Schools,May-22,Formal Challenge
Coming Out: Telling Family and Friends,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Gay and Lesbian Role Models,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
"Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"Gay People of Color: Facing Prejudices, Forging Identities",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"Gays and Mental Health: Fighting Depression, Saying No to Suicide",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"Homosexuality Around the World: Safe Havens, Cultural Challenges",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
The LGBT Community,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Ember Queen (Ash Princess Trilogy Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Lucky,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Lucky,Banned Pending Investigation,,,Florida,Clay County District Schools,Jun-22,Administrator
Lucky,Banned in Libraries and Classrooms,,,Florida,Hernando School District,Nov-21,Administrator
Lucky,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Lucky,Banned in Libraries,,,Florida,St. Johns County School District,May-22,Formal Challenge
The Lovely Bones,Banned in Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Deaf Musicians,Banned in Classrooms,"Christie, R. Gregory",,Pennsylvania,Central York School District,Aug-21,Administrator
Festival of Colors,Banned Pending Investigation,"Harrison, Vashti",,Florida,Duval County Public Schools,Jan-22,Administrator
"A Very, Very Bad Thing",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Just Kill Me,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Between Shades of Gray,Banned in Libraries,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Out of the Easy,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Ven a Mi Casa,Banned in Classrooms,"Kath, Katie","Lázaro, Georgina",Pennsylvania,Central York School District,Aug-21,Administrator
My Girlfriend's Pregnant!: A Teen’s Guide to Becoming a Dad,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Berlin Boxing Club,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Far from You,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Far from You,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Girls I've Been,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Safe,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Hookup Artist,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Flawless (Pretty Little Liars Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Influence,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
25 Women Who Fought Back,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
25 Women Who Thought of It First,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Final Takedown,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Hidden Figures: The True Story of Four Black Women and the Space Race,Banned in Classrooms,"Freeman, Laura",,Pennsylvania,Central York School District,Aug-21,Administrator
Game Changer,Banned in Libraries,,,Texas,Katy Independent School District,Jan-22,Administrator
Edie in Between,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Nelson Beats The Odds,Banned in Classrooms,"Van Wagoner, Traci",,Pennsylvania,Central York School District,Aug-21,Administrator
Tameka's New Dress,Banned in Classrooms,"Van Wagoner, Traci",,Pennsylvania,Central York School District,Aug-21,Administrator
Somebody Told Me,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
History Is All You Left Me,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
History Is All You Left Me,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Infinity Reaper (Infinity Cycle Series),Banned in Libraries and Classrooms,,,Texas,Keller Independent School District,Nov-21,Formal Challenge
Infinity Son (Infinity Cycle Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Infinity Son (Infinity Cycle Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
More Happy Than Not,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
More Happy Than Not,Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
More Happy Than Not,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
More Happy Than Not,Banned in Libraries,,,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge
More Happy Than Not,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
More Happy Than Not,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
More Happy Than Not,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
More Happy Than Not,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
They Both Die at the End,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
They Both Die at the End,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
They Both Die at the End,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned Pending Investigation,"Smyth, Fiona",,Florida,Walton County School District,Apr-22,Administrator
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned in Libraries and Classrooms,"Smyth, Fiona",,Texas,Frisco Independent School District,May-22,Administrator
Jack (Not Jackie),Banned in Classrooms,"Hatam, Holly",,Pennsylvania,Central York School District,Aug-21,Administrator
Chainbreaker (Timekeeper Series),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Firestarter (Timekeeper Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Firestarter (Timekeeper Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Marriage of a Thousand Lies,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Courageous Conversations About Race: A Field Guide for Achieving Equity in Schools and Beyond,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Bonds of Brass,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Edge of the Abyss (The Abyss Surrounds Us Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Climbing Lincoln's Steps: The African American Journey,Banned Pending Investigation,"Bootman, Colin",,Florida,Duval County Public Schools,Jan-22,Administrator
Exquisite: The Poetry and Life of Gwendolyn Brooks,Banned in Classrooms,"Cabrera, Cozbi A.",,Pennsylvania,Central York School District,Aug-21,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,Wisconsin,Oconomowoc Area School District,May-22,Formal Challenge
