Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),Banned in Classrooms,"Ho, Dung",,Pennsylvania,Central York School District,Aug-21,Administrator
"Mindy Kim, Class President (Mindy Kim Series)",Banned in Classrooms,"Ho, Dung",,Pennsylvania,Central York School District,Aug-21,Administrator
The Gentleman's Guide to Vice and Virtue (Montague Siblings Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Lady's Guide to Petticoats and Piracy (Montague Siblings Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Downstairs Girl,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
When Spring Comes to the DMZ,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
A Lesson in Vengeance,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Electric Heir (Feverwake Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Fever King (Feverwake Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Rape On Campus,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Gender Issues and Sexuality: Essential Primary Sources,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Henry's Freedom Box: A True Story from the Underground Railroad,Banned in Classrooms,"Nelson, Kadir",,Pennsylvania,Central York School District,Aug-21,Administrator
19 Love Songs,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Another Day (Every Day Series),Banned in Libraries,,,North Carolina,Iredell-Statesville School District,Feb-22,Administrator
Every Day (Every Day Series),Banned in Libraries,,,Indiana,Middlebury Community Schools,Dec-21,Administrator
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Love Is the Higher Law,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
The Realm of Possibility,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Two Boys Kissing,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
Two Boys Kissing,Banned in Libraries and Classrooms,,,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
Two Boys Kissing,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Two Boys Kissing,Banned in Libraries,,,Georgia,Forsyth County Schools,Jan-22,Administrator
