"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"196","US-VA-517","10","2022","CHARLOTTESVILLE (VA)                                                 ","VA ",3,64.5,54
"197","US-VA-544","5","2022","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","VA ",2,39.5,68.25
"198","US-VA-556","1","2022","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",1,50.75,16.25
"199","US-VA-556","6","2023","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",18,37.75,47.4
"200","US-VA-573","1","2022","ROANOKE (VA) - LYNCHBURG (VA)                                        ","VA ",1,0,0
"201","US-VA-584","1","2023","CHARLOTTESVILLE (VA)                                                 ","VA ",17,0,0
"202","US-VA-584","10","2022","CHARLOTTESVILLE (VA)                                                 ","VA ",3,0,0
"203","US-WA-810","2","2022","YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ","WA ",1,0,0
"204","US-WA-819","1","2022","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",3,59.25,66.25
"205","US-WI-617","1","2023","MILWAUKEE (WI)                                                       ","WI ",3,46.75,62.5
"206","US-WI-617","5","2022","MILWAUKEE (WI)                                                       ","WI ",3,42.25,42.25
"207","US-WI-658","1","2023","GREEN BAY (WI) - APPLETON (WI)                                       ","WI ",3,0,0
"208","US-WY-767","10","2022","CASPER (WY) - RIVERTON (WY)                                          ","WY ",2,0,0
"209","US-WY-767","3","2023","CASPER (WY) - RIVERTON (WY)                                          ","WY ",2,0,0
"210","US-WY-767","5","2023","CASPER (WY) - RIVERTON (WY)                                          ","WY ",1,0,0
"211","US-AK-743","10","2021","ANCHORAGE (AK)                                                       ","AK ",1,NA,0
"212","US-FL-534","10","2021","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,NA,57
"213","US-FL-534","11","2021","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",7,NA,63.75
"214","US-FL-548","11","2021","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",161,NA,49
"215","US-IA-679","10","2021","DES MOINES (IA) - AMES (IA)                                          ","IA ",3,NA,0
"216","US-IA-679","11","2021","DES MOINES (IA) - AMES (IA)                                          ","IA ",3,NA,0
"217","US-KS-678","11","2021","WICHITA (KS) - HUTCHINSON (KS)                                       ","KS ",29,NA,0
"218","US-MO-609","10","2021","ST. LOUIS (MO)                                                       ","MO ",12,NA,61
"219","US-MO-616","10","2021","KANSAS CITY (MO)                                                     ","MO ",4,NA,50
"220","US-NC-545","11","2021","GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC)                    ","NC ",5,NA,0
"221","US-OK-650","10","2021","OKLAHOMA CITY (OK)                                                   ","OK ",10,NA,43
"222","US-PA-501","11","2021","NEW YORK (NY)                                                        ","PA ",2,NA,63.25
"223","US-PA-504","10","2021","PHILADELPHIA (PA)                                                    ","PA ",4,NA,60
"224","US-PA-504","11","2021","PHILADELPHIA (PA)                                                    ","PA ",1,NA,57.5
"225","US-PA-566","10","2021","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",1,NA,0
"226","US-PA-577","11","2021","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",2,NA,0
"227","US-TN-575","10","2021","CHATTANOOGA (TN)                                                     ","TN ",12,NA,0
"228","US-TX-618","10","2021","HOUSTON (TX)                                                         ","TX ",14,NA,59
"229","US-TX-618","11","2021","HOUSTON (TX)                                                         ","TX ",46,NA,44.75
"230","US-TX-623","10","2021","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",13,NA,61
"231","US-TX-623","11","2021","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",11,NA,57.25
"232","US-TX-765","10","2021","EL PASO (TX)                                                         ","TX ",1,NA,40
"233","US-UT-770","10","2021","SALT LAKE CITY (UT)                                                  ","UT ",20,NA,51
"234","US-VA-511","11","2021","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",2,NA,64.5
"235","US-VA-544","10","2021","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","VA ",6,NA,37
"236","US-VA-556","10","2021","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",2,NA,0
"237","US-VA-556","11","2021","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",1,NA,50.75
"238","US-VA-569","11","2021","HARRISONBURG                                                         ","VA ",1,NA,0
"239","US-WA-819","11","2021","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",1,NA,59.25
