"","Month","Year","Trends_DMA","DMA","STATE","count"
"218","7","2022","US-PA-577","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",27
"219","7","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",2
"220","7","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2
"221","7","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",130
"222","8","2021","US-PA-504","PHILADELPHIA (PA)                                                    ","PA ",2
"223","8","2021","US-PA-566","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",441
"224","8","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69
"225","8","2022","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",2
"226","8","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",2034
"227","8","2022","US-IA-679","DES MOINES (IA) - AMES (IA)                                          ","IA ",3
"228","8","2022","US-MI-505","DETROIT (MI)                                                         ","MI ",8
"229","8","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",49
"230","8","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",3
"231","8","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",10
"232","8","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",59
"233","9","2021","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",1
"234","9","2021","US-PA-504","PHILADELPHIA (PA)                                                    ","PA ",6
"235","9","2021","US-TX-618","HOUSTON (TX)                                                         ","TX ",7
"236","9","2021","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2
"237","9","2021","US-TX-635","AUSTIN (TX)                                                          ","TX ",23
"238","9","2021","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",3
"239","9","2022","US-CA-803","LOS ANGELES (CA)                                                     ","CA ",1
"240","9","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",13
"241","9","2022","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",2
"242","9","2022","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111
"243","9","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",252
"244","9","2022","US-MI-588","SOUTH BEND (IN) - ELKHART (IN)                                       ","MI ",1
"245","9","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",239
"246","9","2022","US-MO-616","KANSAS CITY (MO)                                                     ","MO ",14
"247","9","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",1
"248","9","2022","US-SC-567","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",2
"249","9","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",10
"250","9","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87
"251","9","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",10
